French,English
partie,part
histoire,history
chercher,search
seulement,only
genre,kind
frère,brother
mettre,to put
laisse,leash
parlé,speak
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
aucune,any
parle,speak
compris,understood
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donné,given
façon,way
écoute,listen
premier,first
perdu,lost
main,hand
côté,side
pouvoir,power
matin,morning
tellement,so much
enfant,child
venu,came
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aujourd'hui,today
mari,husband
espère,hope
eau,water
attendez,Wait
parti,left
boulot,job
dirait,would say
terre,Earth
compte,account
fin,end
aura,will have
loin,far
donner,give
filles,girls
sois,be
savais,knew
mois,month
eux,them
tiens,here
chaque,each
jouer,to play
revoir,meet again
yeux,eyes
vieux,old
pensais,thought
plutôt,rather
chérie,sweetheart
aucun,no
trouve,find
arrêter,Stop
croire,believe
leurs,their
endroit,place
suite,after
arrivé,come
